phi,Spinx,Spiny
(-2.735190661233244+0j),(0.11943844131469925+2.2088730903543644e-14j),(0.9928416080807226-2.6572653364509072e-15j)
(-2.728021933129926+0j),(0.1156067915756054-4.058057273289465e-15j),(0.9932950567387289+4.72305764749663e-16j)
(-2.7208300385171023+0j),(0.11185780650821814-2.4146658896031227e-14j),(0.9937242228723069+2.718050175737018e-15j)
(-2.7136138789839297+0j),(0.10818986511411541+2.924920982666943e-14j),(0.99413024955817-3.1831523759067156e-15j)
(-2.706372357006515+0j),(0.104601329299489-1.3172916580248973e-14j),(0.9945142341408592+1.3855051418501468e-15j)
(-2.699104375039016+0j),(0.101090544985426-3.546720469796902e-14j),(0.9948772294683147+3.6038608039541424e-15j)
(-2.6918088345514666+0j),(0.09765584307746672+4.344914585617891e-14j),(0.9952202451280969-4.263441173300125e-15j)
(-2.684484635009359+0j),(0.09429554029772097-1.1725960390987211e-14j),(0.9955442486800679+1.1106545711492011e-15j)
(-2.677130672789613+0j),(0.09100793987625977+1.6877195746175395e-14j),(0.9958501668822872-1.5423593496564164e-15j)
(-2.6697458400270966+0j),(0.08779133209683912+4.031666080023009e-14j),(0.9961388869071734-3.553172558435061e-15j)
(-2.6623290233853747+0j),(0.08464399470797608+2.0426315133806216e-16j),(0.9964112575437293-1.7351920675318784e-17j)
(-2.654879102744766+0j),(0.08156419317613799+3.8965229031153775e-14j),(0.9966680903849213-3.1887922353589675e-15j)
(-2.6473949498001796+0j),(0.07855018080020926+3.8583045781565235e-14j),(0.9969101609955906-3.040098637311517e-15j)
(-2.639875426560469+0j),(0.07560019866961135+3.5168410910299604e-14j),(0.9971382100597264-2.6663694409563602e-15j)
(-2.632319383740255+0j),(0.07271247546605945-5.828062393948766e-14j),(0.9973529445044004+4.248975712858024e-15j)
(-2.62472565903426+0j),(0.0698852271076686-4.5650647026472673e-14j),(0.9975550385979259+3.1981251275529285e-15j)
(-2.6170930752632064+0j),(0.06711665622406399+5.253603258371628e-14j),(0.9977451350206129-3.5340115571945772e-15j)
(-2.6094204383791757+0j),(0.06440495145834162+3.0015524041022736e-13j),(0.9979238459059131-1.9371702327684606e-14j)
(-2.6017065353170485+0j),(0.061748286593571705+1.249374465385764e-14j),(0.998091753849694-7.72942289661962e-16j)
(-2.5939501316772193+0j),(0.0591448194830313-3.437228226338803e-14j),(0.998249412886539+2.0365075134974784e-15j)
(-2.586149969223118+0j),(0.056592690784504796-2.630371964534064e-14j),(0.9983973494304608+1.4909878048256471e-15j)
(-2.578304763175226+0j),(0.05409002248553227-1.0874121078943355e-13j),(0.9985360631782482+5.8904377654455375e-15j)
(-2.5704131992811803+0j),(0.05163491619750329+8.967316231750843e-15j),(0.9986660279739554-4.636451117520553e-16j)
(-2.562473930639148+0j),(0.049225451218458116-5.948643907272689e-15j),(0.9987876926315918+2.9318010487484036e-16j)
(-2.554485574248932+0j),(0.046859682324364584+8.539748425987652e-15j),(0.9989014817150186-4.0060997575528617e-16j)
(-2.5464467072621395+0j),(0.04453563729165394-2.7861493894784667e-14j),(0.9990077962713935+1.2420617648159708e-15j)
(-2.538355862899175+0j),(0.04225131412161459+4.4670010745459e-14j),(0.9991070145159611-1.8890535532238883e-15j)
(-2.5302115259967293+0j),(0.04000467791386473-8.551776160655668e-14j),(0.9991994924663483+3.423851327766948e-15j)
(-2.5220121281446755+0j),(0.03779365740260334-6.112224785902666e-14j),(0.9992855645210404+2.311684844930451e-15j)
(-2.513756042365857+0j),(0.03561614108658282-6.199042859830873e-14j),(0.9993655439798295+2.2092615302531025e-15j)
(-2.505441577285948+0j),(0.03346997292210946-7.614312461521929e-14j),(0.9994397235014191+2.5499369888439065e-15j)
(-2.4970669707332176+0j),(0.031352947540339744-3.953568100225614e-14j),(0.9995083754929383+1.2401698303168454e-15j)
(-2.4886303826995344+0j),(0.029262804910378148+1.5835068782753244e-13j),(0.9995717524263964-4.635770542808014e-15j)
(-2.480129887583963+0j),(0.02719722442726233-1.719474630390925e-13j),(0.99963008707394+4.678224277603887e-15j)
(-2.471563465628689+0j),(0.025153818310740934+1.0818993173483857e-13j),(0.9996835926553914-2.722251226191431e-15j)
(-2.462928993443274+0j),(0.02313012425505019+3.755343357415135e-14j),(0.9997324628879198-8.688480338677122e-16j)
(-2.4542242334970923+0j),(0.021123597235890298+2.864632336248728e-14j),(0.9997768719268395-6.052484449175538e-16j)
(-2.445446822440698+0j),(0.0191316003419176-1.0614068102796469e-14j),(0.9998169741849541+2.0310128172222175e-16j)
(-2.43659425809411+0j),(0.017151394531126404-1.1006917422696374e-14j),(0.9998529040142042+1.8881175673968187e-16j)
(-2.4276638849129144+0j),(0.015180127117420774+6.883960822224241e-14j),(0.9998847752319758-1.0451144265944472e-15j)
(-2.418652877710572+0j),(0.01321481885627169+9.191171980705529e-15j),(0.9999126804689477-1.2147027952970877e-16j)
(-2.4095582233762607+0j),(0.011252349367615759-4.587693770165938e-14j),(0.9999366903127964+5.162560149422383e-16j)
(-2.4003767002802663+0j),(0.009289440676771904+3.384739534777197e-14j),(0.9999568522150908-3.144369384037591e-16j)
(-2.3911048550015326+0j),(0.007322638572334628+5.114706480729347e-14j),(0.9999731891227579-3.745415114060704e-16j)
(-2.3817389759418663+0j),(0.005348291400674226+6.883727372615036e-14j),(0.9999856977872701-3.6816706471910765e-16j)
(-2.3722750633051266+0j),(0.003362525896455595+1.4130864025880547e-13j),(0.9999943466938179-4.751566484691791e-16j)
(-2.362708794813426+0j),(0.0013612195096584087-3.6720615134055655e-14j),(0.9999990735402942+4.9984864036097017e-17j)
(-2.3530354864002088+0j),(-0.0006600313879422468-1.5104757138758922e-14j),(0.9999997821792598-9.969615990414782e-18j)
(-2.343250046954825+0j),(-0.002705948181137866-5.2408902518200676e-15j),(0.9999963389155189-1.4181629364599417e-17j)
(-2.3333469259851927+0j),(-0.004781612508618368-3.793564313036511e-14j),(0.9999885680255637-1.813956194247204e-16j)
(-2.3233200528012508+0j),(-0.006892515745240014-2.4298064101587588e-14j),(0.9999762463312324-1.6747876763421577e-16j)
(-2.313162765484681+0j),(-0.009044616903128008-4.59781837646592e-14j),(0.9999590966159944-4.1587206862788287e-16j)
(-2.3028677274756837+0j),(-0.011244410740721288+7.912015007929509e-14j),(0.9999367796151384+8.89715713528933e-16j)
(-2.2924268290424985+0j),(-0.013499008376815351-5.023858974540497e-14j),(0.99990888423538-6.782329415256694e-16j)
(-2.2818310701574305+0j),(-0.015816233244765138-1.2103755003338792e-15j),(0.999874915559915-1.9145976090729403e-17j)
(-2.271070420319419+0j),(-0.018204736177735065-6.352259444215672e-14j),(0.9998342800588002-1.1566037454494097e-15j)
(-2.2601336495437288+0j),(-0.02067413433875935-2.196383822303425e-14j),(0.9997862672438259-4.541804152497395e-16j)
(-2.2490081229491983+0j),(-0.02323518038531522+6.931530578703384e-15j),(0.9997300267534541+1.6109885572359606e-16j)
(-2.237679548911882+0j),(-0.025899970161152606+7.925699270510338e-14j),(0.9996645395059542+2.0534425949922786e-15j)
(-2.226131667321692+0j),(-0.02868220018379693-5.932743064719295e-14j),(0.9995885810635378-1.7023416177910045e-15j)
(-2.2143458596175254+0j),(-0.03159749018527343+1.9224852951504084e-14j),(0.9995006746440901+6.07760572712753e-16j)
(-2.2023006552734317+0j),(-0.03466379186481632-4.329616087399753e-14j),(0.9993990301844167-1.5017115924206108e-15j)
(-2.1899710991278045+0j),(-0.03790191357501308-1.4860322809335226e-14j),(0.9992814643269194-5.6363966602302015e-16j)
(-2.177327928535939+0j),(-0.04133620355868564-6.580422241763774e-14j),(0.9991452938763985-2.722423605002731e-15j)
(-2.164336485675424+0j),(-0.044995454143091744+2.617398754837157e-14j),(0.9989871916628645+1.1789044607411323e-15j)
(-2.1509552530694958+0j),(-0.04891412046162738-1.0138797969572944e-13j),(0.9988029879908576-4.965247312859796e-15j)
(-2.13713383989764+0j),(-0.0531339978945203-9.727345088577968e-14j),(0.9985873914023475-5.175838768902756e-15j)
(-2.1228101450306838+0j),(-0.057706587440071164-4.17510595359991e-14j),(0.998333586415894-2.4133327783545675e-15j)
(-2.107906245085688+0j),(-0.06269652694586725-2.581467697481787e-14j),(0.9980326374968537-1.6216810249911592e-15j)
(-2.0923222305334006+0j),(-0.06818673826797188+2.0691669052308673e-14j),(0.9976725759107419+1.4141888391683055e-15j)
(-2.075926583491461+0j),(-0.07428646731593928-3.153364492484223e-14j),(0.9972369431452677-2.3490135410281236e-15j)
(-2.0585403884884426+0j),(-0.08114448384224489-5.206325663908569e-15j),(0.9967023491203256-4.238623587928276e-16j)
(-2.0399097387812515+0j),(-0.08897215912851653-6.188861437916945e-14j),(0.9960341133214312-5.52828821135958e-15j)
(-2.0196533732894006+0j),(-0.09808727197919077-1.1567771503397896e-14j),(0.9951778168124931-1.1401491577466582e-15j)
(-1.997151428797173+0j),(-0.10900709225727621-1.7695882472596072e-13j),(0.9940409719109236-1.940540428183732e-14j)
(-1.9712662541428947+0j),(-0.12268199072147853+1.7109144579655503e-13j),(0.9924460333703868+2.1149602557687665e-14j)
(-1.9394162066860072+0j),(-0.14127035607040717+3.358305172818369e-15j),(0.9899710533625417+4.792351917217104e-16j)
(-1.8916878675320343+0j),(-0.1730629988263003-7.155988228217914e-14j),(0.9849107565852085-1.257410150169229e-14j)
(-1.7866435373505711+0j),(-0.2607972994977713+3.479699224877423e-14j),(0.96539358221125+9.400271325958941e-15j)
(-1.7387288777125816+0j),(-0.3086261853722552+4.758302770068429e-15j),(0.9511834090765936+1.5439050121764702e-15j)
(-1.706639399688455+0j),(-0.3429596006210355-1.0388085595590298e-15j),(0.9393501542778707-3.7927216713128854e-16j)
(-1.6804613160987474+0j),(-0.3720835516728184-1.2028461702166481e-15j),(0.9281992407745985-4.821801779936405e-16j)
(-1.6576126392693042+0j),(-0.39815238757857574+4.706783735890204e-15j),(0.9173192880701244+2.0429279168470226e-15j)
(-1.636955396680704+0j),(-0.422113176506513+7.355019128724129e-14j),(0.9065431408485651+3.424713450245529e-14j)
(-1.6178694278261663+0j),(-0.4444805922247716-3.920417384717047e-15j),(0.8957884812473961-1.945268863583513e-15j)
(-1.5999731987563126+0j),(-0.46557049057785177+1.886122101569992e-14j),(0.8850108012352721+9.922170338396007e-15j)
(-1.583012554599697+0j),(-0.48559295752587245+3.9209897423393036e-14j),(0.8741850373926999+2.1780343107792603e-14j)
(-1.5668083567766777+0j),(-0.5046960778361808-7.941893636224458e-15j),(0.8632970919774812-4.6429469136902424e-15j)
(-1.5512288895559887+0j),(-0.5229889741509474+2.25288726679528e-14j),(0.8523394470025072+1.382354418398201e-14j)
(-1.5361740710158807+0j),(-0.5405549673337299-1.0807805959940429e-14j),(0.8413086991650748-6.9441968250450464e-15j)
(-1.521565830990835+0j),(-0.5574595765042183-5.004317146001558e-15j),(0.8302040836828843-3.360263544509881e-15j)
(-1.5073419472873757+0j),(-0.5737556261126249-1.3078242112539185e-15j),(0.8190265450546215-9.161748220543928e-16j)
(-1.493451933800748+0j),(-0.5894866372129067-2.926100136772473e-14j),(0.8077781282923048-2.1353597842773674e-14j)
(-1.4798542035637983+0j),(-0.6046891533874632+1.7378581391752145e-15j),(0.7964615670423482+1.3194157889975099e-15j)
(-1.4665140550220623+0j),(-0.6193943794209863+2.1576517093104992e-15j),(0.7850799976701044+1.7022944737621328e-15j)
(-1.4534022074710347+0j),(-0.6336293621956337-5.6829934400561286e-14j),(0.7736367567298974-4.654524849627761e-14j)
(-1.440493713223726+0j),(-0.6474178581620708+1.9608520545610747e-14j),(0.7621352353308675+1.6657025925136508e-14j)
(-1.4277671345725524+0j),(-0.6607809811081002+2.905403066229173e-14j),(0.7505787733514826+2.5578062646841884e-14j)
(-1.4152039108740013+0j),(-0.6737376927398981+2.925477656037444e-15j),(0.738970582216585+2.6672300813770562e-15j)
(-1.4027878647355176+0j),(-0.6863051787805405+2.3434003210365723e-14j),(0.7273136885684266+2.2112711496589288e-14j)
(-1.3905048116957544+0j),(-0.6984991403887584+2.758228234740906e-14j),(0.7156108934862336+2.6922732290681487e-14j)
(-1.3783422480700318+0j),(-0.7103340220668795-3.213903019065445e-14j),(0.7038647434658807-3.243442265376527e-14j)
(-1.366289098635863+0j),(-0.7218231913723339+3.098916278770465e-14j),(0.692077510396819+3.232108549308606e-14j)
(-1.3543355106946542+0j),(-0.732979081636584+4.506009230360086e-15j),(0.6802511785239259+4.855280831239514e-15j)
(-1.3424726844779782+0j),(-0.743813306075058+7.672499905086725e-15j),(0.6683874368251486+8.538322544437746e-15j)
(-1.330692732328605+0j),(-0.7543367495050847-4.2281879984682707e-14j),(0.6564876757000874-4.8583967515607394e-14j)
(-1.318988560876636+0j),(-0.7645596424995226+9.918935433987139e-14j),(0.6445529870080521+1.1765701008674895e-13j)
(-1.3073537717507437+0j),(-0.7744916215903473-1.1088084137405053e-15j),(0.6325841668002402-1.3575471399082415e-15j)
(-1.2957825773483038+0j),(-0.7841417783787022-4.5345234243276755e-14j),(0.6205817201634979-5.729639057230694e-14j)
(-1.2842697289302616+0j),(-0.7935186997434045+3.498141614851477e-14j),(0.6085458677515908+4.561432314036087e-14j)
(-1.2728104548718016+0j),(-0.8026305008900401+4.902894670194001e-15j),(0.5964765536389534+6.597430831004463e-15j)
(-1.261400407334644+0j),(-0.8114848526066532-1.790978957019503e-15j),(0.5843734542139627-2.487026548653693e-15j)
(-1.2500356159641943+0j),(-0.8200890038066689-8.682230061401359e-15j),(0.5722359878890748-1.2442771081456644e-14j)
(-1.2387124474787035+0j),(-0.8284498002234737-2.5273249343642525e-14j),(0.5600633254460488-3.738437676322304e-14j)
(-1.2274275702257662+0j),(-0.8365736999564106-9.308322770285676e-15j),(0.5478544008596093-1.421380937728723e-14j)
(-1.2161779229468073+0j),(-0.8444667864221579-1.728325845973526e-14j),(0.5356079224860605-2.7249667373574104e-14j)
(-1.2049606871224843+0j),(-0.8521347791536716-2.0817124244897334e-14j),(0.5233223845362659-3.389687904666885e-14j)
(-1.193773262378287+0j),(-0.8595830428270376+8.380764935291697e-14j),(0.5109960787366291+1.4097883964407386e-13j)
(-1.1826132445159223+0j),(-0.8668165947935808+1.7991929928949817e-14j),(0.4986271061529461+3.127728766111896e-14j)
(-1.1714784058062089+0j),(-0.8738401113640679+1.3941005273352102e-14j),(0.48621338913200796+2.505527382193411e-14j)
(-1.1603666772366843+0j),(-0.8806579330546814+5.3920583750756366e-15j),(0.4737526833146766+1.0023286729017214e-14j)
(-1.149276132454559+0j),(-0.8872740689375971+1.1792919465601891e-14j),(0.4612425897409304+2.2685571262565162e-14j)
(-1.138204973184666+0j),(-0.8936922002501344-1.9213179310679814e-15j),(0.4486805670096194-3.826924933790074e-15j)
(-1.127151515934715+0j),(-0.8999156833592091-1.0046190820482137e-14j),(0.43606394352678085-2.0732566431088013e-14j)
(-1.1161141798271756+0j),(-0.9059475521942181-7.810590301940328e-15j),(0.4233899298203778-1.6712691225879438e-14j)
(-1.1050914754199932+0j),(-0.9117905202154117-3.192874592418519e-15j),(0.4106556309674921-7.0892313804271405e-15j)
(-1.0940819943973952+0j),(-0.9174469819952974-1.6354991228852798e-14j),(0.3978580591463747-3.7714046501066803e-14j)
(-1.0830844000281832+0j),(-0.9229190144905065-4.245421407705884e-15j),(0.3849941463085799-1.0177246015985706e-14j)
(-1.0720974183027285+0j),(-0.9282083780344466+6.550908845866896e-15j),(0.37206075706349606+1.6343052469346827e-14j)
(-1.061119829671331+0j),(-0.9333165171375799-3.0076015322948054e-15j),(0.35905470173523363-7.817873358831397e-15j)
(-1.0501504613166992+0j),(-0.9382445611241115+4.84553690468595e-15j),(0.3459727496798315+1.3140626395445796e-14j)
(-1.0391881799016431+0j),(-0.9429933246712845+7.20332594858008e-15j),(0.3328116428633428+2.041000797478602e-14j)
(-1.0282318847404326+0j),(-0.9475633082979531+5.515925324396226e-15j),(0.3195681097472627+1.6355475685114478e-14j)
(-1.0172805013484865+0j),(-0.9519546988499797+4.244332975398602e-15j),(0.30623887953270146+1.3193663474670476e-14j)
(-1.0063329753303685+0j),(-0.9561673700494854-2.2807205386090974e-15j),(0.2928206967627983-7.447392152701014e-15j)
(-0.9953882665707827+0j),(-0.9602008831545956-7.0328450868446455e-15j),(0.2793103363449598-2.417720787510536e-14j)
(-0.9844453436972043+0j),(-0.9640544877930455-1.919754792310582e-15j),(0.2657046190153431-6.965434887236007e-15j)
(-0.9735031787862419+0j),(-0.9677271230339456+9.797033316980612e-15j),(0.25200042727035754+3.762237615548908e-14j)
(-0.962560742288833+0j),(-0.9712174187616879-5.268319777038685e-15j),(0.23819472180105933-2.1481097046894797e-14j)
(-0.9516169981519236+0j),(-0.9745236974279203-1.1404458654832327e-15j),(0.22428455843284323-4.955274359112346e-15j)
(-0.9406708991165807+0j),(-0.9776439762506419-1.353331215093111e-15j),(0.21026710560816272-6.2923589806449495e-15j)
(-0.9297213821743766+0j),(-0.9805759699425041+5.782941193086668e-16j),(0.19613966241257155+2.8911098855689495e-15j)
(-0.9187673641655648+0j),(-0.983317094052345+4.148009245252768e-16j),(0.18189967714224203+2.2423395473949448e-15j)
(-0.9078077375040547+0j),(-0.9858644690039949+6.540085660404531e-16j),(0.16754476642220417+3.848307658018777e-15j)
(-0.8968413660153962+0j),(-0.9882149249249357+1.0860296703473257e-15j),(0.15307273485374182+7.011246844018219e-15j)
(-0.8858670808750865+0j),(-0.9903650073578859+1.4123747953899766e-15j),(0.13848159517067465+1.0100739906299798e-14j)
(-0.8748836766354394+0j),(-0.9923109839506588+9.691083381025586e-16j),(0.12376958887737949+7.769734530588659e-15j)
(-0.8638899073300245+0j),(-0.9940488522234068-5.647498822673469e-16j),(0.10893520731759568-5.153420882786373e-15j)
(-0.8528844826453832+0j),(-0.995574348511017+6.962118485597354e-16j),(0.09397721312565033+7.375518325157962e-15j)
(-0.8418660641502729+0j),(-0.9968829581802876+2.030022839142219e-16j),(0.07889466198494452+2.5650596911662046e-15j)
(-0.8308332615731906+0j),(-0.9979699272189003+6.25844868725877e-16j),(0.06368692461332078+9.806948002040124e-15j)
(-0.8197846291193107+0j),(-0.9988302752910787+2.2754995336255997e-16j),(0.04835370887478912+4.700441555541148e-15j)
(-0.8087186618183114+0j),(-0.9994588103499715+5.502043174505776e-16j),(0.03289508190930254+1.6716983836208757e-14j)
(-0.7976337918948226+0j),(-0.9998501448916707+5.107410453130936e-16j),(0.01731149213977183+2.949858417953514e-14j)
(-0.7865283851534628+0j),(-0.9999987139263511+2.726275469297722e-18j),(0.001603791022513619+1.6998922707737326e-15j)
(-0.7754007373705774+0j),(-0.9998987947330767-1.1502410417608157e-16j),(-0.014226745634211935+8.084242601086366e-15j)
(-0.7642490706849486+0j),(-0.9995445284515132-7.677421998064686e-17j),(-0.030178396952821176+2.5428538045860034e-15j)
(-0.753071529979834+0j),(-0.998929943549483+8.648778856160919e-16j),(-0.04624897707221674-1.8680465431843728e-14j)
(-0.7418661792487662+0j),(-0.9980489811876977+5.512209515513333e-16j),(-0.062435816245153535-8.811376901760703e-15j)
(-0.7306309979376011+0j),(-0.996895522483177-8.107498319781522e-17j),(-0.07873574317292795+1.0265133023230376e-15j)
(-0.7193638772553492+0j),(-0.9954634176508944+1.2348527981151236e-15j),(-0.09514506880969117-1.2919752984426293e-14j)
(-0.7080626164463373+0j),(-0.9937465169775601+5.281719285176275e-15j),(-0.11165957189138813-4.7006181865022383e-14j)
(-0.6967249190162909+0j),(-0.9917387035553649+2.318814315115851e-15j),(-0.12827448643562908-1.7927632895358604e-14j)
(-0.6853483889049431+0j),(-0.9894339276731512-1.4001086089578812e-16j),(-0.14498449147850706+9.55491822610243e-16j)
(-0.6739305265978233+0j),(-0.9868262427322717+5.5095921693268075e-15j),(-0.16178370330446584-3.360666141516022e-14j)
(-0.6624687251699157+0j),(-0.9839098425210013+1.5329022861377452e-15j),(-0.17866567043027118-8.441675691371837e-15j)
(-0.6509602662539585+0j),(-0.9806790996484126+2.3979385502064776e-15j),(-0.19562337159137944-1.202110054283686e-14j)
(-0.6394023159262473+0j),(-0.9771286049037854-8.580553945747069e-16j),(-0.21264921697194653+3.942786540998917e-15j)
(-0.6277919205029433+0j),(-0.9732532072744249-5.352835844873958e-15j),(-0.22973505289799664+2.267683833320028e-14j)
(-0.6161260022400638+0j),(-0.9690480543210489-1.287558334538168e-15j),(-0.24687217019459556+5.054056509996914e-15j)
(-0.6044013549305534+0j),(-0.9645086325783987-2.1778920987859707e-15j),(-0.2640513163795016+7.955255663578376e-15j)
(-0.5926146393921549+0j),(-0.9596308076207829+4.2807488526235914e-15j),(-0.28126271182843277-1.460534335305248e-14j)
(-0.5807623788401384+0j),(-0.9544108634050161-3.130555690882637e-15j),(-0.298496070015154+1.0009633827745536e-14j)
(-0.5688409541394216+0j),(-0.9488455404828025+2.4805993262063528e-15j),(-0.3157406218811551-7.454554293243516e-15j)
(-0.5568465989311837+0j),(-0.9429320726586482-3.881930384330024e-15j),(-0.33298514434080334+1.099267257240327e-14j)
(-0.5447753946297312+0j),(-0.9366682216568363-2.8828967464026323e-15j),(-0.3502179928818905+7.710391309289194e-15j)
