Time,Spinz_On_BIS,Spinz_away_BIS
(2.48+0j),(-0.9536752941861878-1.6893155148297043e-23j),(0.8193341136194747+3.972621270865784e-17j)
(2.5+0j),(-0.9622854704252342-1.396573991690181e-23j),(0.8145524472114432-5.2143014099433594e-17j)
(2.52+0j),(-0.9701395721921595-1.1229635601066137e-23j),(0.8095610546600623-7.699246827400316e-17j)
(2.54+0j),(-0.9771913937635505-8.712335375008559e-24j),(0.8043815781120803+0j)
(2.56+0j),(-0.9833929309226555+6.443785920245145e-24j),(0.7990355003471268-1.118993461435275e-16j)
(2.58+0j),(-0.9886944375640819+4.4564860703305224e-24j),(0.7935440946733752+3.6715153888152285e-17j)
(2.6+0j),(-0.9930445046077074-2.7855713068442995e-24j),(0.7879283786156553-1.325135163672206e-16j)
(2.62+0j),(-0.99639016394325+2.9377598323058095e-24j),(0.7822090711503613+4.7433016725844165e-17j)
(2.64+0j),(-0.9986770202378478-5.469960843407752e-25j),(0.7764065532387256-1.1673181665480345e-17j)
(2.66+0j),(-0.9998494135135937+0j),(0.7705408314109675-3.447461323179923e-17j)
(2.68+0j),(-0.9998506154295891-1.2754380609778283e-25j),(0.7646315041579516-7.919367828107978e-17j)
(2.7+0j),(-0.9986230621715643+0j),(0.758697730893956+2.22775305986695e-17j)
(2.72+0j),(-0.9961086267484038-1.7151489066935422e-24j),(0.7527582032635111+7.677407003638712e-17j)
(2.74+0j),(-0.9922489333047491-1.0413356284673682e-23j),(0.7468311185766917+6.480172875267967e-17j)
(2.7600000000000002+0j),(-0.9869857157676032+0j),(0.7409341551703755+1.0636475983004716e-16j)
(2.7800000000000002+0j),(-0.9802612227375634+0j),(0.7350844495075213+9.428668425620184e-17j)
(2.8000000000000003+0j),(-0.9720186699976867+0j),(0.7292985748421752+3.0959271202432517e-17j)
(2.82+0j),(-0.9622027413319024-3.604262238352748e-23j),(0.7235925212944585-4.066738738590149e-17j)
(2.84+0j),(-0.9507601375095963-2.3839118117402717e-23j),(0.7179816771969455-8.014043818955513e-17j)
(2.86+0j),(-0.9376401722960956+3.0650687531859165e-23j),(0.7124808115914362-1.8756536437454562e-16j)
(2.88+0j),(-0.9227954131876676+0j),(0.7071040577729534+9.729740506190144e-17j)
(2.9+0j),(-0.9061823632476994+0j),(0.7018648977956627+1.0550276771204798e-16j)
(2.92+0j),(-0.8877621789490169+1.7292191506875028e-22j),(0.6967761478731774+1.4184126980440568e-16j)
(2.94+0j),(-0.8675014173257958-1.3801626429720194e-22j),(0.6918499446232202-2.4243622153345566e-16j)
(2.96+0j),(-0.8453728040373191+0j),(0.6870977321236941+4.598134940074023e-17j)
(2.98+0j),(-0.8213560121863972-9.559200576394637e-23j),(0.6825302497637897-1.0885719222872657e-16j)
(3+0j),(-0.7954384399704993+3.3265715836592253e-22j),(0.6781575208896276-8.949902968027055e-18j)
(3.02+0j),(-0.7676159735381799-1.2755267583014806e-22j),(0.6739888422590572-5.298972865689706e-17j)
(3.04+0j),(-0.7378937198523835-1.4561043576377812e-22j),(0.67003277433441+6.973220265646034e-17j)
(3.06+0j),(-0.7062866930097801+0j),(0.6662971324552028+2.151137157768534e-17j)
(3.08+0j),(-0.6728204364213989+5.577425219707592e-22j),(0.6627889789448158-1.9964712549793e-16j)
(3.1+0j),(-0.6375315626165936+0j),(0.6595146162160073-2.516902443690045e-17j)
(3.12+0j),(-0.6004681922788253+2.317040515707737e-22j),(0.6564795809496042+1.1186952886726247e-16j)
(3.14+0j),(-0.5616902745385323+2.565677703754038e-22j),(0.6536886394287577+2.865245855217155e-17j)
(3.16+0j),(-0.5212697716005432+0j),(0.6511457841177167+1.96157064754405e-16j)
(3.18+0j),(-0.4792906925149345+6.198505986931761e-22j),(0.6488542315790033+4.8964196383560703e-17j)
(3.2+0j),(-0.43584896332661577+0j),(0.6468164218261806-1.279127311660611e-16j)
(3.22+0j),(-0.3910521239427991+3.675325829732172e-22j),(0.6450340192109453-1.0741827733579138e-17j)
(3.24+0j),(-0.34501884578471603+3.976514615918671e-22j),(0.6435079149431029-1.7381138289397647e-16j)
(3.2600000000000002+0j),(-0.2978782685471645+0j),(0.6422382313399618-1.5279989633420018e-16j)
(3.2800000000000002+0j),(-0.24976915904673852-9.196788188672901e-22j),(0.6412243278978808+1.5870298245764838e-16j)
(3.3000000000000003+0j),(-0.2008389000321883-4.915997070171742e-22j),(0.6404648092730924+2.2430198840886812e-17j)
(3.3200000000000003+0j),(-0.15124232176759927+0j),(0.6399575352515153+6.658425807307602e-17j)
(3.34+0j),(-0.10114039397240526+1.6668292227799566e-21j),(0.6396996327781597+1.0982625389329876e-16j)
(3.36+0j),(-0.05069880009749862+5.875024856219906e-22j),(0.6396875101059084+1.4494284815354052e-16j)
(3.38+0j),(-8.641972781715005e-05+2.4763078375005803e-21j),(0.63991687311112+2.5110185612615346e-16j)
(3.4+0j),(0.050526252057565696-2.600601327329276e-21j),(0.6403827438096641+1.6337477078064848e-16j)
(3.42+0j),(0.10096871741819752-6.805426736734466e-22j),(0.6410794810918706+4.2202745522841094e-17j)
(3.44+0j),(0.15107208853999265-2.1302385391107674e-21j),(0.6420008036785947-5.572697156341695e-17j)
(3.46+0j),(0.20067066843822892+7.385942831155299e-22j),(0.6431398152833532-5.5195247404824155e-17j)
(3.48+0j),(0.24960346882065573+1.1488958958775232e-21j),(0.6444890319474651-9.568032320148114e-17j)
(3.5+0j),(0.2977156361707516-1.5838885889003436e-21j),(0.6460404114965874+8.124594830296467e-17j)
(3.52+0j),(0.34485976024907583+1.224757810610942e-21j),(0.6477853850481949+4.0247301590750255e-17j)
(3.54+0j),(0.39089704301920636-1.6789972261671529e-21j),(0.6497148904806083+3.9878346479680627e-17j)
(3.56+0j),(0.43569831039857565-8.608263469263924e-22j),(0.651819407755515+1.8440627644623435e-16j)
(3.58+0j),(0.4791448540068148-4.402037777199705e-22j),(0.6540889959676535+5.221158343343281e-17j)
(3.6+0j),(0.5211290950212029+4.490895486353449e-22j),(0.6565133319778015-5.174275100544253e-17j)
(3.62+0j),(0.5615550671420708+1.371143393614024e-21j),(0.6590817504686858+2.5640211599656727e-17j)
(3.64+0j),(0.6003387203291732-4.640645826702197e-22j),(0.6617832852480705+1.6517810540603948e-16j)
(3.66+0j),(0.6374080512290509-3.7610753624418174e-21j),(0.664606711609411+1.2593257960605695e-16j)
(3.68+0j),(0.672703069942484-9.50519743074656e-22j),(0.6675405895482323+1.9970758575130882e-16j)
(3.7+0j),(0.7061756158873097-6.232863172616795e-21j),(0.6705733076220031+9.897024833577838e-17j)
(3.72+0j),(0.7377890379405908-1.4481744662066295e-21j),(0.6736931272329096+0j)
(3.74+0j),(0.7675177557779372+0j),(0.6768882271067074+9.722556255690737e-17j)
(3.7600000000000002+0j),(0.7953467203822728-4.866186978954743e-22j),(0.6801467477368143-4.8181329525811786e-17j)
(3.7800000000000002+0j),(0.8212707921130912-6.822211997131392e-21j),(0.6834568355611307+1.4325744019709572e-16j)
(3.8000000000000003+0j),(0.8452940545756159-9.74376706580202e-22j),(0.6868066866397101+4.732585807760461e-17j)
(3.8200000000000003+0j),(0.8674290818875147-4.133735272954857e-21j),(0.6901845896043518-9.380223182085343e-17j)
(3.84+0j),(0.8876961758981491+4.1203265304165636e-21j),(0.6935789676564416+2.3238966687472714e-17j)
(3.86+0j),(0.9061225885638218+4.825007796032432e-22j),(0.6969784193968072-4.6056017910136007e-17j)
(3.88+0j),(0.9227417431120701+0j),(0.7003717582808716+1.8254041849058864e-16j)
(3.9+0j),(0.9375924659229188+1.1905016479707115e-21j),(0.7037480505039041+6.78224342998835e-17j)
(3.92+0j),(0.9507182392903246+2.1250686514568337e-21j),(0.7070966511343665+1.1198840674645217e-16j)
(3.94+0j),(0.962166483467492+4.677941216437969e-22j),(0.7104072383282611-6.656421181618027e-17j)
(3.96+0j),(0.9719878746982572-6.596554338158997e-21j),(0.713669845473543+1.758285416496219e-16j)
(3.98+0j),(0.980235704334857+1.830590916015523e-21j),(0.7168748911310349-4.353821499775918e-17j)
(4+0j),(0.9869652826701698+0j),(0.7200132066565176-6.46789125101062e-17j)
(4.0200000000000005+0j),(0.9922333897900839-3.122768502353107e-21j),(0.7230760614075985+0j)
(4.04+0j),(0.9960977745899215-4.50918699159437e-21j),(0.726055185458217+2.1140519222844332e-17j)
(4.0600000000000005+0j),(0.998616702101444+6.475434133407434e-21j),(0.7289427897631616+8.3723302515052e-17j)
(4.08+0j),(0.999848548441082-4.669093004205841e-21j),(0.7317315837343105-6.216309190964018e-17j)
(4.1+0j),(0.9998514420084829+1.890511121772779e-21j),(0.7344147902094188+0j)
(4.12+0j),(0.9986829490263363+1.3945766538628626e-21j),(0.73698615781278+9.135523353308034e-17j)
(4.14+0j),(0.9963998011047539+1.6248001800580084e-21j),(0.7394399707249697-3.0136691059090644e-17j)
(4.16+0j),(0.9930576622218228+6.984537945699052e-22j),(0.7417710558957733+9.940531559107309e-18j)
(4.18+0j),(0.9887109323215173-3.1358514502565607e-21j),(0.7439747877503029+7.86840387318957e-17j)
(4.2+0j),(0.9834125846261137+3.6557636319684774e-21j),(0.746047090453019+1.946101372508594e-17j)
(4.22+0j),(0.977214033728572+7.552881954152215e-22j),(0.7479844378077747+1.9251128467058074e-17j)
(4.24+0j),(0.9701650315577333-1.852402087373901e-21j),(0.7497838508840575-5.712423911979722e-17j)
(4.26+0j),(0.9623135883836842-2.725070585454981e-21j),(0.7514428934702277-3.766386366043497e-17j)
(4.28+0j),(0.9537059161413899+4.8093200901515826e-21j),(0.7529596654636973+1.8622753833628305e-17j)
(4.3+0j),(0.9443863914884197-8.730080666118937e-22j),(0.7543327943156913+4.603488004838367e-18j)
(4.32+0j),(0.9343975361689877+0j),(0.7555614246544495+4.551400677069898e-17j)
(4.34+0j),(0.9237800124248968+0j),(0.7566452062155102-1.3498338726220442e-17j)
(4.36+0j),(0.9125726313685112-3.2851021349567714e-22j),(0.7575842802111117-8.005761013259615e-17j)
(4.38+0j),(0.9008123724090201+0j),(0.7583792642728272-7.473230056670548e-17j)
(4.4+0j),(0.8885344119972712+0j),(0.7590312361023521-1.5721967815667075e-16j)
(4.42+0j),(0.8757721601235481+3.086477771705653e-22j),(0.7595417159650276-9.123408654694045e-17j)
(4.44+0j),(0.8625573031646219-6.044813109545371e-22j),(0.7599126481592579+3.393911552997152e-17j)
(4.46+0j),(0.8489198518298448+5.918951802149205e-22j),(0.7601463815925812+1.6766673005776518e-17j)
(4.48+0j),(0.8348881930997898-5.795433882243296e-22j),(0.7602456495919201+4.9694712425645905e-17j)
(4.5+0j),(0.8204891451845253+0j),(0.7602135490715045+4.091083317307083e-18j)
(4.5200000000000005+0j),(0.8057480146516782+5.555608101865949e-22j),(0.7600535191773053+1.6165040910705015e-16j)
(4.54+0j),(0.7906886549871075+0j),(0.7597693195216135-3.193421136537783e-17j)
(4.5600000000000005+0j),(0.7753335259533051-5.325575683637764e-22j),(0.7593650081157688+7.88530199603568e-18j)
(4.58+0j),(0.7597037532032125+0j),(0.7588449191030318-7.787804881692136e-18j)
(4.6000000000000005+0j),(0.7438191876901123+0j),(0.7582136403874009-1.4613084485659395e-16j)
(4.62+0j),(0.7276984644885455-2.499507912303196e-22j),(0.7574759912477961+3.7976063866649894e-17j)
(4.64+0j),(0.7113590607070674+2.447528668122391e-22j),(0.7566370000205551+9.00022136902549e-17j)
(4.66+0j),(0.6948173522319954-2.3967563180065846e-22j),(0.7557018819267886+7.406043122377233e-17j)
(4.68+0j),(0.6780886690925643+7.0415305948744535e-22j),(0.7546760171147349-2.925127171706138e-17j)
(4.7+0j),(0.6611873492827185+4.597548340042731e-22j),(0.7535649289810423-1.0108750876797966e-16j)
(4.72+0j),(0.6441267909139282+0j),(0.7523742628288365-9.980913590224569e-17j)
(4.74+0j),(0.6269195026070951-4.410851041065639e-22j),(0.7511097649146219+7.038904681925218e-17j)
(4.76+0j),(0.6095771520608713+4.320878161709649e-22j),(0.7497772619305114-1.250928061025152e-16j)
(4.78+0j),(0.5921106127584891+0j),(0.7483826409630072+1.5094928243714127e-16j)
(4.8+0j),(0.5745300087965225+0j),(0.7469318299646396-1.7612698740158883e-16j)
(4.82+0j),(0.5568447578367571+0j),(0.7454307787701573+9.36315559163558e-17j)
(4.84+0j),(0.5390636121974229+7.964889495084305e-22j),(0.7438854406847168+3.0373365739541685e-16j)
(4.86+0j),(0.5211946981123746+0j),(0.7423017546676183+1.3037878879018846e-17j)
(4.88+0j),(0.5032455531971021+3.82542805834869e-22j),(0.7406856281316017-1.9308241752228728e-16j)
(4.9+0j),(0.485223162168605+0j),(0.7390429203744955+0j)
(4.92+0j),(0.4671339908728191+7.352020151316957e-22j),(0.737379426657179-1.5056925495724893e-16j)
(4.94+0j),(0.4489840186784009+0j),(0.7357008629392832-1.7343841011900884e-16j)
(4.96+0j),(0.430778769299585+0j),(0.7340128512818119+7.339046149061881e-17j)
(4.98+0j),(0.41252334011365493+0j),(0.7323209059239891-4.830919807199287e-17j)
(5+0j),(0.39422243004059615+3.3983372829421364e-22j),(0.7306304200399377-7.155076194206503e-17j)
(5.0200000000000005+0j),(0.37588036605363806+6.666063554969228e-22j),(0.7289466531794228-7.065134568478436e-17j)
(5.04+0j),(0.35750112839007664+0j),(0.7272747193957244-9.30206939849657e-17j)
(5.0600000000000005+0j),(0.33908837453178375-6.414011723719113e-22j),(0.7256195760627098-2.2964413884462868e-17j)
(5.08+0j),(0.3206454620245514-3.146187424309853e-22j),(0.7239860133824215+2.2678149442964906e-17j)
(5.1000000000000005+0j),(0.30217547020471724-6.17353531368655e-22j),(0.7223786445838277-1.7917083795551462e-16j)
(5.12+0j),(0.2836812209006411+3.028699117672713e-22j),(0.7208018968129009-1.5483299622066586e-16j)
(5.14+0j),(0.2651652981754869+0j),(0.7192600027137658-1.0923024302288598e-17j)
(5.16+0j),(0.2466300671765006+5.832858841642564e-22j),(0.7177569927003404+7.552111973820332e-17j)
(5.18+0j),(0.2280776921546852+0j),(0.7162966879176261-8.525279373867336e-17j)
(5.2+0j),(0.2095101537173184-2.8090129076295146e-22j),(0.7148826938915507-1.8947887277866966e-16j)
(5.22+0j),(0.19092926537439422-2.7570135942783917e-22j),(0.7135183948660524-1.1438592325957037e-16j)
(5.24+0j),(0.1723366894386415+2.706095850521089e-22j),(0.7122069488258432+4.109168276461917e-17j)
(5.26+0j),(0.15373395233741494+0j),(0.7109512832030416-8.11934108082087e-17j)
(5.28+0j),(0.13512245939341677-2.60733629113083e-22j),(0.7097540912655238-4.0109827712329956e-17j)
