kx,ky,gamma0
-3.141592653589793,-3.141592653589793,-0.9608963726353549
-3.141592653589793,-3.078760800517997,-0.9592091683566396
-3.141592653589793,-3.015928947446201,-0.9537916710758765
-3.141592653589793,-2.9530970943744057,-0.9447146542184259
-3.141592653589793,-2.8902652413026098,-0.9320582688137342
-3.141592653589793,-2.827433388230814,-0.9159106062881481
-3.141592653589793,-2.764601535159018,-0.8963665002685516
-3.141592653589793,-2.701769682087222,-0.8735265571680594
-3.141592653589793,-2.6389378290154264,-0.8474963998723425
-3.141592653589793,-2.5761059759436304,-0.8183861062194069
-3.141592653589793,-2.5132741228718345,-0.7863098233886145
-3.141592653589793,-2.4504422698000385,-0.7513855401123481
-3.141592653589793,-2.3876104167282426,-0.7137350002464662
-3.141592653589793,-2.324778563656447,-0.6734837432530383
-3.141592653589793,-2.2619467105846507,-0.6307612592297037
-3.141592653589793,-2.199114857512855,-0.5857012480077141
-3.141592653589793,-2.1362830044410592,-0.5384419733274716
-3.141592653589793,-2.0734511513692633,-0.48912670400465985
-3.141592653589793,-2.0106192982974678,-0.4379042341474171
-3.141592653589793,-1.9477874452256716,-0.38492947369587455
-3.141592653589793,-1.8849555921538759,-0.3303640986386223
-3.141592653589793,-1.82212373908208,-0.27437724701818383
-3.141592653589793,-1.759291886010284,-0.21714624208113828
-3.141592653589793,-1.6964600329384882,-0.1588573175142974
-3.141592653589793,-1.6336281798666923,-0.09970631159339445
-3.141592653589793,-1.5707963267948963,-0.03989928739449749
-3.141592653589793,-1.5079644737231006,0.020346974591791515
-3.141592653589793,-1.4451326206513047,0.08080467621177584
-3.141592653589793,-1.3823007675795087,0.14123496858533854
-3.141592653589793,-1.319468914507713,0.2013882681038814
-3.141592653589793,-1.256637061435917,0.2610050049555462
-3.141592653589793,-1.1938052083641213,0.31981688098982725
-3.141592653589793,-1.1309733552923253,0.37754869621823467
-3.141592653589793,-1.0681415022205294,0.433920773123094
-3.141592653589793,-1.0053096491487334,0.48865196519926307
-3.141592653589793,-0.9424777960769379,0.5276496708058231
-3.141592653589793,-0.879645943005142,0.5765282434624628
-3.141592653589793,-0.816814089933346,0.6233308203188185
-3.141592653589793,-0.7539822368615501,0.6674769531812632
-3.141592653589793,-0.6911503837897541,0.7086927203275275
-3.141592653589793,-0.6283185307179586,0.7585512958149032
-3.141592653589793,-0.5654866776461627,0.8036475868113203
-3.141592653589793,-0.5026548245743667,0.836207783833455
-3.141592653589793,-0.43982297150257077,0.8651489808987143
-3.141592653589793,-0.3769911184307748,0.8903674816087227
-3.141592653589793,-0.31415926535897887,0.9117865250847998
-3.141592653589793,-0.25132741228718336,0.9293550482983962
-3.141592653589793,-0.1884955592153874,0.9430459453882833
-3.141592653589793,-0.12566370614359146,0.9528539883778256
-3.141592653589793,-0.06283185307179551,0.9587935654384028
-3.141592653589793,4.440892098500626e-16,0.9608963726353549
-3.141592653589793,0.06283185307179595,0.9592091683566395
-3.141592653589793,0.1256637061435919,0.9537916710758766
-3.141592653589793,0.18849555921538785,0.944714654218426
-3.141592653589793,0.2513274122871838,0.932058268813734
-3.141592653589793,0.31415926535897976,0.9159106062881479
-3.141592653589793,0.3769911184307757,0.8963665002685517
-3.141592653589793,0.4398229715025712,0.8735265571680592
-3.141592653589793,0.5026548245743672,0.8474963998723424
-3.141592653589793,0.5654866776461631,0.8183861062194068
-3.141592653589793,0.6283185307179591,0.7863098233886144
-3.141592653589793,0.691150383789755,0.7513855401123478
-3.141592653589793,0.7539822368615505,0.7137350002464663
-3.141592653589793,0.8168140899333465,0.6734837432530378
-3.141592653589793,0.8796459430051424,0.6307612592297038
-3.141592653589793,0.9424777960769379,0.5857012480077142
-3.141592653589793,1.0053096491487343,0.5384419733274715
-3.141592653589793,1.0681415022205298,0.48912670400466
-3.141592653589793,1.1309733552923262,0.43790423414741647
-3.141592653589793,1.1938052083641217,0.3849294736958745
-3.141592653589793,1.2566370614359172,0.3303640986386224
-3.141592653589793,1.3194689145077136,0.2743772470181835
-3.141592653589793,1.3823007675795091,0.2171462420811383
-3.141592653589793,1.4451326206513055,0.15885731751429688
-3.141592653589793,1.507964473723101,0.09970631159339437
-3.141592653589793,1.5707963267948966,0.039899287394497836
-3.141592653589793,1.633628179866693,-0.020346974591792123
-3.141592653589793,1.6964600329384885,-0.0808046762117759
-3.141592653589793,1.7592918860102849,-0.1412349685853389
-3.141592653589793,1.8221237390820804,-0.2013882681038818
-3.141592653589793,1.8849555921538759,-0.261005004955546
-3.141592653589793,1.9477874452256723,-0.31981688098982747
-3.141592653589793,2.0106192982974678,-0.37754869621823395
-3.141592653589793,2.073451151369264,-0.43392077312309413
-3.141592653589793,2.1362830044410597,-0.48865196519926285
-3.141592653589793,2.199114857512856,-0.5278185953759786
-3.141592653589793,2.2619467105846516,-0.5656091611359478
-3.141592653589793,2.324778563656447,-0.6131696142124501
-3.141592653589793,2.3876104167282435,-0.6582240326424428
-3.141592653589793,2.450442269800039,-0.7004203695825071
-3.141592653589793,2.5132741228718354,-0.739277025401187
-3.141592653589793,2.576105975943631,-0.8036475868113204
-3.141592653589793,2.6389378290154264,-0.836207783833455
-3.141592653589793,2.701769682087223,-0.8651489808987143
-3.141592653589793,2.7646015351590183,-0.8903674816087226
-3.141592653589793,2.8274333882308147,-0.9117865250848
-3.141592653589793,2.89026524130261,-0.9293550482983961
-3.141592653589793,2.9530970943744057,-0.9430459453882835
-3.141592653589793,3.015928947446202,-0.9528539883778259
-3.141592653589793,3.0787608005179976,-0.9587935654384027
-3.141592653589793,3.141592653589793,-0.9608963726353548
