phi,Spinx,Spiny
(-2.8271261705492408+0j),(-0.6927627451362763+0j),(-0.7211655697211636+0j)
(-2.822641281919108+0j),(-0.6898589719975894+0j),(-0.7239437814875056+0j)
(-2.818144240311233+0j),(-0.6869636778789809+0j),(-0.7266917539610476+0j)
(-2.813634916827628+0j),(-0.6840768560143863+0j),(-0.7294099362261749+0j)
(-2.809113183658226+0j),(-0.6811984878328228+0j),(-0.732098777607418+0j)
(-2.804578914087929+0j),(-0.6783285431696953+0j),(-0.734758727420967+0j)
(-2.800031982503192+0j),(-0.6754669804765161+0j),(-0.737390234737305+0j)
(-2.795472264398108+0j),(-0.6726137470286062+0j),(-0.7399937481547654+0j)
(-2.7908996363799865+0j),(-0.6697687791303806+0j),(-0.7425697155837959+0j)
(-2.786313976174386+0j),(-0.6669320023178249+0j),(-0.7451185840417194+0j)
(-2.7817151626295824+0j),(-0.6641033315578022+0j),(-0.7476407994577529+0j)
(-2.777103075720447+0j),(-0.6612826714438421+0j),(-0.7501368064880538+0j)
(-2.772477596551705+0j),(-0.6584699163880826+0j),(-0.7526070483405476+0j)
(-2.767838607360542+0j),(-0.6556649508090552+0j),(-0.755051966609292+0j)
(-2.7631859915185415+0j),(-0.652867649315017+0j),(-0.7574720011181166+0j)
(-2.758519633532899+0j),(-0.6500778768825523+0j),(-0.7598675897732929+0j)
(-2.753839419046909+0j),(-0.6472954890301832+0j),(-0.7622391684249612+0j)
(-2.7491452348396637+0j),(-0.644520331986737+0j),(-0.7645871707370627+0j)
(-2.74443696882495+0j),(-0.64175224285424+0j),(-0.7669120280655095+0j)
(-2.7397145100492937+0j),(-0.6389910497651156+0j),(-0.7692141693443223+0j)
(-2.7349777486891207+0j),(-0.6362365720334759+0j),(-0.7714940209794835+0j)
(-2.7302265760469937+0j),(-0.6334886203003153+0j),(-0.7737520067502267+0j)
(-2.7254608845468806+0j),(-0.6307469966724114+0j),(-0.7759885477175119+0j)
(-2.7206805677284165+0j),(-0.6280114948547646+0j),(-0.7782040621394135+0j)
(-2.715885520240111+0j),(-0.6252819002764044+0j),(-0.7803989653931692+0j)
(-2.711075637831459+0j),(-0.6225579902094053+0j),(-0.7825736699036241+0j)
(-2.7062508173439+0j),(-0.6198395338809612+0j),(-0.784728585077817+0j)
(-2.701410956700587+0j),(-0.6171262925783721+0j),(-0.7868641172454578+0j)
(-2.6965559548948974+0j),(-0.6144180197468031+0j),(-0.7889806696050399+0j)
(-2.691685711977651+0j),(-0.6117144610796876+0j),(-0.7910786421753448+0j)
(-2.6868001290429646+0j),(-0.6090153546016406+0j),(-0.793158431752092+0j)
(-2.6818991082126873+0j),(-0.6063204307437552+0j),(-0.7952204318694959+0j)
(-2.6769825526193642+0j),(-0.6036294124111632+0j),(-0.797265032766491+0j)
(-2.6720503663876563+0j),(-0.6009420150427387+0j),(-0.7992926213573931+0j)
(-2.667102454614157+0j),(-0.5982579466628197+0j),(-0.801303581206765+0j)
(-2.662138723345533+0j),(-0.5955769079248359+0j),(-0.8032982925082637+0j)
(-2.657159079554922+0j),(-0.5928985921467131+0j),(-0.8052771320672439+0j)
(-2.652163431116512+0j),(-0.590222685337946+0j),(-0.8072404732869036+0j)
(-2.6471516867782294+0j),(-0.5875488662182033+0j),(-0.809188686157749+0j)
(-2.6421237561324467+0j),(-0.5848768062273493+0j),(-0.8111221372501777+0j)
(-2.637079549584638+0j),(-0.582206169526747+0j),(-0.8130411897099636+0j)
(-2.632018978319893+0j),(-0.5795366129917141+0j),(-0.8149462032564433+0j)
(-2.6269419542671884+0j),(-0.576867786194987+0j),(-0.8168375341832026+0j)
(-2.621848390061343+0j),(-0.5741993313810565+0j),(-0.8187155353610605+0j)
(-2.616738199002542+0j),(-0.5715308834312157+0j),(-0.8205805562431604+0j)
(-2.6116112950133323+0j),(-0.5688620698191672+0j),(-0.8224329428719724+0j)
(-2.606467592592994+0j),(-0.5661925105570221+0j),(-0.8242730378880145+0j)
(-2.6013070067691566+0j),(-0.5635218181315083+0j),(-0.8261011805401075+0j)
(-2.596129453046564+0j),(-0.5608495974302098+0j),(-0.827917706696971+0j)
(-2.5909348473528557+0j),(-0.5581754456576326+0j),(-0.8297229488599815+0j)
(-2.5857231059812396+0j),(-0.5554989522408894+0j),(-0.8315172361769022+0j)
(-2.580494145529931+0j),(-0.5528196987247828+0j),(-0.8333008944564025+0j)
(-2.57524788283821+0j),(-0.5501372586560432+0j),(-0.8350742461831846+0j)
(-2.5699842349189606+0j),(-0.5474511974564754+0j),(-0.8368376105335321+0j)
(-2.5647031188875355+0j),(-0.5447610722847411+0j),(-0.8385913033910971+0j)
(-2.5594044518867918+0j),(-0.5420664318864937+0j),(-0.8403356373627419+0j)
(-2.5540881510081284+0j),(-0.5393668164325573+0j),(-0.8420709217942444+0j)
(-2.548754133208355+0j),(-0.5366617573448297+0j),(-0.843797462785685+0j)
(-2.5434023152222047+0j),(-0.5339507771095566+0j),(-0.84551556320632+0j)
(-2.5380326134703037+0j),(-0.5312333890776165+0j),(-0.8472255227087472+0j)
(-2.5326449439623917+0j),(-0.5285090972514113+0j),(-0.8489276377421686+0j)
(-2.527239222195589+0j),(-0.5257773960579579+0j),(-0.8506222015645452+0j)
(-2.5218153630474758+0j),(-0.523037770107721+0j),(-0.852309504253439+0j)
(-2.5163732806637595+0j),(-0.5202896939387182+0j),(-0.8539898327153287+0j)
(-2.510912888340279+0j),(-0.5175326317453881+0j),(-0.8556634706931765+0j)
(-2.505434098399084+0j),(-0.5147660370916806+0j),(-0.8573306987720237+0j)
(-2.4999368220583174+0j),(-0.5119893526077933+0j),(-0.8589917943823752+0j)
(-2.494420969295606+0j),(-0.5092020096699392+0j),(-0.8606470318011299+0j)
(-2.4888864487046614+0j),(-0.506403428062492+0j),(-0.8622966821498018+0j)
(-2.483333167344757+0j),(-0.5035930156218102+0j),(-0.8639410133897634+0j)
(-2.4777610305827444+0j),(-0.5007701678609989+0j),(-0.8655802903142303+0j)
(-2.4721699419272447+0j),(-0.49793426757481374+0j),(-0.8672147745366967+0j)
(-2.4665598028546287+0j),(-0.49508468442386444+0j),(-0.8688447244755088+0j)
(-2.460930512626377+0j),(-0.49222077449721235+0j),(-0.8704703953342494+0j)
(-2.4552819680973923+0j),(-0.48934187985241145+0j),(-0.8720920390775897+0j)
(-2.4496140635147925+0j),(-0.48644732803195534+0j),(-0.87370990440224+0j)
(-2.4439266903067067+0j),(-0.4835364315550452+0j),(-0.8753242367026136+0j)
(-2.4382197368605456+0j),(-0.48060848738351075+0j),(-0.8769352780307871+0j)
(-2.432493088290195+0j),(-0.4776627763606382+0j),(-0.8785432670503184+0j)
(-2.426746626191538+0j),(-0.47469856262157245+0j),(-0.8801484389834553+0j)
(-2.4209802283856763+0j),(-0.4717150929738798+0j),(-0.8817510255512289+0j)
(-2.4151937686491816+0j),(-0.46871159624674924+0j),(-0.8833512549058978+0j)
